,0
0,0.007159214188760042
1,0.005704585726562378
2,0.025818133562204196
3,0.006631798171459415
4,0.004663861811276505
5,0.016790055155386507
6,0.014902447223856348
7,0.004915744154515501
8,0.0005182409319317931
9,0.01071233507253562
10,0.009789468521426637
11,0.013214044943089292
12,0.01866566225824106
13,0.007250650173897167
14,0.020240065655813603
15,0.0026389777073078263
16,-0.002797615115706281
17,0.021491593888177795
18,0.01022559846086616
19,0.008669655407141083
20,-0.0012699695858225325
21,0.02117204861571738
22,0.011577065312168575
23,0.00787916307725051
24,0.015155431227082244
25,0.016307258614883642
26,0.007428763178882702
27,0.007072264262131271
28,0.0010637158206332883
29,-0.00032861266982240874
30,0.009231127762470252
31,2.331987334155213e-18
32,-0.00014853054412870267
33,-0.003216825299413838
34,-0.0037679587344469252
