sample,0,1,2,3,4,0:0,0:1,0:2,0:3,target
0,0.0002543828341681173,0.00012276636634723413,0.0005289964495147633,0.0003710236453299836,0.0004327706317789299,0,1,0,0,0.2459380641577558
1,0.0005384044472712298,0.00023964354864489023,0.0013810269246960112,0.0008066051763730246,0.0010389307852482058,0,1,0,0,0.2035828357172615
2,0.9998787972755179,0.9999391643408617,0.9997679960895596,0.9998253349969771,0.9998043890926476,0,0,1,0,0.0667962782946813
3,0.0002717725661135225,0.00013048528635942603,0.0005717777351310213,0.0003970304944321269,0.0004657319015594726,0,1,0,0,0.2407998889043188
4,0.0007818694553397818,0.0003262973328185513,0.0025115531695160866,0.0011991379457053448,0.001704362184886803,0,1,0,0,0.1917789195945007
5,0.00020831577786974695,0.0001050442847814165,0.0003952208607399353,0.0002997837546558908,0.00033425085724380764,0,1,0,0,0.2903763366199139
6,0.9994151036116086,0.9997234731683914,0.9987236374591851,0.9991413669782296,0.9989749151700522,0,0,1,0,0.173725871406749
7,0.9997318984685025,0.9998714239324522,0.9994344463384977,0.9996081882357682,0.9995398070533312,0,0,1,0,0.1591445632551034
8,0.9998652370211948,0.999931300638551,0.9997496480798322,0.9998066839676045,0.9997867029526513,0,1,0,0,0.0570754061935842
9,0.9996742297528679,0.9998392690320222,0.9993540492470452,0.9995281104223394,0.9994622579309218,0,1,0,0,0.1459519511179003
10,0.0007107729103716392,0.00024976634994021337,0.0028435625384300063,0.0012650430593284631,0.0018475885756463555,0,1,0,0,0.2153867518400222
11,0.000529951463589955,0.00022399806457556751,0.001181265075766007,0.0008144616631127088,0.0009654197724887226,0,0,1,0,0.2487154561866407
12,0.0006672403831124204,0.0002805530772199716,0.0015045585890077044,0.0010290756183076453,0.0012250249004254483,0,0,0,1,0.2389945840855436
13,0.9997454065771291,0.9998868740188332,0.999487124567622,0.9996211460190602,0.9995673316118725,0,1,0,0,0.107068462713512
14,0.00041354073216641983,0.00017902303452497982,0.0008765643646290637,0.0006256159203080733,0.0007279799980939689,0,0,1,0,0.2605193723094015
15,0.9995053923362804,0.9997923364471805,0.9988811060281627,0.9992363994043271,0.9990899492022037,0,1,0,0,0.1494236911540064
16,0.9995885615778979,0.9998238942757158,0.9991072671677994,0.9993729407869735,0.9992640481454523,0,1,0,0,0.1403416192195528
17,0.00042945254437302906,0.00016806413044957158,0.0011599809404215457,0.0006976106902454027,0.0008870800001946695,0,1,0,0,0.2358700180530482
18,0.0011816143059553308,0.00035518629250038476,0.02350659172162317,0.0024989031860427496,0.005369981456517544,0,1,0,0,0.2028884877100402
19,0.00015068078340825704,6.900336612093027e-05,0.0002875018215574056,0.00022017044372012667,0.0002464827422575193,0,0,1,0,0.3542563532842661
